velocity:0,velocity:1,velocity:2,Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Point ID
7.52553,-0.276097,0.111997,2.69E-06,2.24E-06,-1,-275.625,-669.375,90,147
7.51631,-0.331788,0.125607,6.66E-06,2.59E-05,-1,-241.685,-630,90.0003,148
7.5245,-0.323305,0.131252,1.16E-06,1.69E-06,-1,-311.168,-633.832,90,149
7.52295,-0.322639,0.121803,4.48E-06,2.93E-06,-1,-275.625,-634.603,90.0001,150
7.52135,-0.329095,0.122926,4.48E-06,1.57E-05,-1,-275.625,-630,90.0001,151
7.52316,-0.328681,0.132149,2.30E-06,2.59E-05,-1,-311.021,-630,90,152
7.51683,-0.2993,0.113255,9.55E-05,0.000288308,-1,-157.5,-630,90.0021,153
7.51998,-0.292703,0.111266,1.96E-05,2.77E-05,-1,-164.141,-636.641,90.0017,154
7.51882,-0.290525,0.111406,1.93E-06,3.45E-05,-1,-157.5,-636.74,90.0017,155
7.52368,-0.20605,0.092661,3.68E-06,1.05E-05,-1,-160.562,-705.688,90,156
7.52314,-0.205165,0.0927513,2.16E-06,1.61E-05,-1,-157.5,-705.637,90,157
7.54255,-0.231477,0.103951,-3.51E-07,2.50E-06,-1,-233.896,-706.396,90,158
7.51503,-0.259172,0.10208,1.28E-05,1.58E-05,-1,-196.875,-669.375,90.0001,159
7.51971,-0.302359,0.112806,2.73E-05,0.000167727,-1,-164.466,-630,90.0019,160
7.51689,-0.321541,0.123052,7.44E-06,1.47E-05,-1,-230.874,-635.376,90.0003,161
7.52108,-0.305157,0.111045,2.12E-05,2.35E-05,-1,-196.875,-636.12,90.0008,162
7.52082,-0.313949,0.112467,2.12E-05,0.000103631,-1,-196.875,-630,90.001,163
7.5167,-0.32914,0.124206,1.51E-05,0.000167727,-1,-230.6,-630,90.0005,164
7.5165,-0.225704,0.0936653,0.000104012,0.000631177,-1,-78.75,-630,90.0053,165
7.51835,-0.223794,0.0923738,3.46E-05,8.57E-05,-1,-86.4146,-637.665,90.0043,166
7.5162,-0.217913,0.091916,2.67E-06,8.87E-05,-1,-78.75,-637.755,90.0043,167
7.50117,-0.154188,0.0777372,8.81E-06,2.82E-05,-1,-82.3759,-705.124,90,168
7.50018,-0.151495,0.0775401,2.71E-06,4.17E-05,-1,-78.75,-705.076,90,169
7.52307,-0.20202,0.09166,-2.99E-06,1.30E-05,-1,-154.366,-705.616,90,170
7.50666,-0.212261,0.0881764,2.49E-05,5.40E-05,-1,-118.125,-669.375,90.0002,171
7.52084,-0.233394,0.0936013,4.37E-05,0.000528696,-1,-86.877,-630,90.005,172
7.51867,-0.283611,0.109021,1.80E-05,5.84E-05,-1,-150.719,-636.781,90.0017,173
7.52265,-0.250164,0.094178,4.14E-05,8.56E-05,-1,-118.125,-637.376,90.003,174
7.52499,-0.259038,0.0953347,4.14E-05,0.000331758,-1,-118.125,-630,90.0036,175
7.52087,-0.291346,0.109894,3.92E-05,0.000528696,-1,-150.298,-630,90.0023,176
7.49526,-0.11859,0.0691012,0,0.00081352,-1,0,-630,90.0072,177
7.49789,-0.123531,0.0690347,1.94E-05,0.000140497,-1,-8.07239,-638.072,90.0058,178
7.49327,-0.114512,0.068042,1.02E-07,0.000120331,-1,0,-638.124,90.0058,179
7.46598,-0.0810415,0.0610697,1.04E-05,4.01E-05,-1,-3.8512,-704.899,90.0001,180
7.4638,-0.0767682,0.060602,-9.62E-08,5.67E-05,-1,0,-704.871,90.0001,181
7.49937,-0.146543,0.0762231,-1.01E-05,3.24E-05,-1,-75.075,-705.075,90.0001,182
7.48805,-0.136169,0.0704605,1.46E-05,9.74E-05,-1,-39.375,-669.375,90.0005,183
7.50282,-0.13007,0.0693856,1.35E-05,0.000911786,-1,-8.61852,-630,90.0071,184
7.51449,-0.207457,0.0891357,1.15E-05,0.000119419,-1,-70.9936,-637.756,90.0044,185
7.51127,-0.16044,0.0722068,2.43E-05,0.000158584,-1,-39.375,-638.092,90.0054,186
7.51597,-0.166348,0.072503,2.43E-05,0.000577029,-1,-39.375,-630,90.0067,187
7.51895,-0.212336,0.0891358,3.51E-05,0.000911786,-1,-70.4632,-630,90.0056,188
7.442,0.00393268,0.0439033,-0.000104012,0.000631177,-1,78.75,-630,90.0053,189
7.44739,-0.00667285,0.0448925,-1.28E-05,0.000127369,-1,70.9983,-637.752,90.0044,190
7.43993,0.00324403,0.0437451,-2.70E-06,8.87E-05,-1,78.75,-637.751,90.0043,191
7.41008,0.00287204,0.0444639,5.98E-06,3.10E-05,-1,75.077,-705.077,90.0001,192
7.40654,0.00757099,0.0439202,-2.66E-06,4.17E-05,-1,78.75,-705.078,90,193
7.46166,-0.0710455,0.0593265,-1.64E-05,4.25E-05,-1,3.8507,-704.899,90.0001,194
7.44718,-0.0413063,0.0510903,-1.46E-05,9.74E-05,-1,39.375,-669.375,90.0005,195
7.45303,-0.00820196,0.0441733,-3.51E-05,0.000911786,-1,70.4678,-630,90.0056,196
7.48883,-0.10258,0.065381,-1.71E-05,0.000133749,-1,8.07147,-638.071,90.0058,197
7.47354,-0.0484756,0.0481082,-2.43E-05,0.000158584,-1,39.375,-638.089,90.0054,198
7.47896,-0.0493388,0.0473019,-2.43E-05,0.000577029,-1,39.375,-630,90.0067,199
7.49397,-0.102497,0.0642749,-1.35E-05,0.000911786,-1,8.61795,-630,90.0071,200
7.35665,0.119244,0.0230088,-9.55E-05,0.000288308,-1,157.5,-630,90.0021,201
7.36488,0.106977,0.0242956,-2.02E-05,6.32E-05,-1,150.728,-636.772,90.0017,202
7.35583,0.115126,0.0234702,-2.16E-06,3.45E-05,-1,157.5,-636.732,90.0017,203
7.33205,0.0840238,0.0304339,1.52E-06,1.26E-05,-1,154.37,-705.62,90,204
7.32785,0.0877752,0.0300562,-1.93E-06,1.61E-05,-1,157.5,-705.64,90,205
7.40326,0.0125735,0.0429452,-1.36E-05,3.01E-05,-1,82.3731,-705.127,90,206
7.37946,0.0569915,0.0330281,-2.49E-05,5.40E-05,-1,118.125,-669.375,90.0002,207
7.36909,0.109826,0.022966,-3.92E-05,0.000528696,-1,150.307,-630,90.0023,208
7.43308,0.0138055,0.0416837,-3.06E-05,8.29E-05,-1,86.4084,-637.658,90.0043,209
7.40377,0.066964,0.0262816,-4.14E-05,8.56E-05,-1,118.125,-637.368,90.003,210
7.4078,0.070623,0.0248087,-4.14E-05,0.000331758,-1,118.125,-630,90.0036,211
7.43684,0.0183827,0.0399288,-4.37E-05,0.000528696,-1,86.8715,-630,90.005,212
7.2488,0.209557,0.00962661,-3.61E-05,7.26E-05,-1,236.25,-630,90.0004,213
7.25788,0.199434,0.0105611,-8.38E-06,1.61E-05,-1,230.887,-635.363,90.0003,214
7.24937,0.204473,0.0102271,-6.22E-07,6.50E-06,-1,236.25,-635.311,90.0003,215
7.23668,0.150463,0.0206755,1.05E-07,2.47E-06,-1,233.901,-706.401,90,216
7.23294,0.152635,0.0205361,-5.11E-07,2.98E-06,-1,236.25,-706.426,90,217
7.32426,0.0910566,0.029482,-5.59E-06,1.13E-05,-1,160.558,-705.692,90,218
7.288,0.142832,0.0192164,-1.28E-05,1.58E-05,-1,196.875,-669.375,90.0001,219
7.25982,0.20426,0.00927574,-1.51E-05,0.000167727,-1,230.612,-630,90.0005,220
7.34814,0.122326,0.0222048,-1.73E-05,2.73E-05,-1,164.131,-636.631,90.0017,221
7.30643,0.167339,0.0104572,-2.12E-05,2.35E-05,-1,196.875,-636.108,90.0008,222
7.3082,0.173123,0.00899597,-2.12E-05,0.000103631,-1,196.875,-630,90.001,223
7.34964,0.129049,0.0205027,-2.73E-05,0.000167727,-1,164.457,-630,90.0019,224
7.13164,0.266986,0.00401651,-5.94E-06,9.01E-06,-1,315,-630,90,225
7.13931,0.260601,0.0044474,-1.31E-06,1.88E-06,-1,311.182,-633.818,90,226
7.13289,0.262841,0.00445708,-6.77E-08,5.11E-07,-1,315,-633.775,90,227
7.1323,0.195883,0.0156531,-9.20E-09,2.03E-07,-1,313.52,-707.27,90,228
7.12981,0.196721,0.015662,-5.17E-08,2.31E-07,-1,315,-707.287,90,229
7.22998,0.154173,0.0202899,-1.07E-06,2.04E-06,-1,238.535,-706.465,90,230
7.18197,0.205843,0.0111421,-2.69E-06,2.24E-06,-1,275.625,-669.375,90,231
7.13952,0.265042,0.00358208,-2.30E-06,2.59E-05,-1,311.034,-630,90,232
7.24263,0.208118,0.00963866,-4.03E-06,4.39E-06,-1,241.479,-635.229,90.0003,233
7.19266,0.240281,0.00220583,-4.48E-06,2.93E-06,-1,275.625,-634.589,90.0001,234
7.19265,0.245717,0.00117782,-4.48E-06,1.57E-05,-1,275.625,-630,90.0001,235
7.24234,0.214491,0.00842576,-6.66E-06,2.59E-05,-1,241.673,-630,90.0003,236
7.01618,0.292873,0.00453111,-3.77E-07,4.72E-07,-1,393.75,-630,90,237
7.02125,0.289789,0.0046391,-7.06E-08,8.49E-08,-1,391.384,-632.366,90,238
7.01736,0.29035,0.00474769,-2.47E-09,1.37E-08,-1,393.75,-632.341,90,239
7.02697,0.219538,0.0141949,-8.77E-10,5.84E-09,-1,393.106,-708.106,90,240
7.02591,0.219677,0.0142262,-1.78E-09,6.11E-09,-1,393.75,-708.114,90,241
7.12796,0.197138,0.0156059,-8.31E-08,1.56E-07,-1,316.44,-707.31,90,242
7.07168,0.24294,0.00870673,-2.21E-07,1.34E-07,-1,354.375,-669.375,90,243
7.02077,0.292678,0.00419277,-1.23E-07,1.64E-06,-1,391.318,-630,90,244
7.12812,0.264018,0.004295,-3.60E-07,2.99E-07,-1,318.721,-633.721,90,245
7.0749,0.281971,0.000657606,-3.68E-07,1.39E-07,-1,354.375,-633.073,90,246
7.07415,0.285739,8.75E-05,-3.68E-07,9.75E-07,-1,354.375,-630,90,247
7.12706,0.268629,0.00359477,-6.13E-07,1.64E-06,-1,318.82,-630,90,248
6.90857,0.293883,0.00847111,-7.63E-09,8.42E-09,-1,472.5,-630,90,249
6.911,0.292855,0.00846512,-1.09E-09,1.18E-09,-1,471.369,-631.131,90,250
6.90926,0.292807,0.00854825,-2.08E-11,1.04E-10,-1,472.5,-631.121,90,251
6.92507,0.229925,0.0157874,-2.12E-11,7.07E-11,-1,472.5,-703.025,90,252
7.02517,0.219668,0.0142305,-2.17E-09,4.09E-09,-1,394.378,-708.122,90,253
6.92965,0.22766,0.015827,1.24E-11,5.47E-11,-1,469.069,-705.319,90,254
6.96473,0.256502,0.0101871,-4.28E-09,2.03E-09,-1,433.125,-669.375,90,255
6.91058,0.294147,0.00832116,-1.89E-09,3.39E-08,-1,471.347,-630,90,256
7.0146,0.29037,0.00475627,-1.04E-08,7.16E-09,-1,396.062,-632.312,90,257
6.96254,0.295721,0.00423198,-9.98E-09,1.99E-09,-1,433.125,-631.727,90,258
6.96185,0.297691,0.00401593,-9.98E-09,1.97E-08,-1,433.125,-630,90,259
7.01362,0.293012,0.00446654,-1.81E-08,3.39E-08,-1,396.105,-630,90,260
6.80984,0.277453,0.0141338,-3.76E-11,3.87E-11,-1,551.25,-630,90,261
6.81015,0.277373,0.0141336,-3.65E-12,3.73E-12,-1,551.103,-630.147,90,262
6.80994,0.277336,0.0141413,-4.96E-14,1.45E-13,-1,551.25,-630.145,90,263
6.81425,0.266716,0.0153088,-4.40E-14,9.60E-14,-1,551.25,-643.904,90,264
6.86334,0.24877,0.0157526,-2.14E-15,8.32E-14,-1,515.421,-672.921,90,265
6.89214,0.240294,0.0157322,-3.53E-11,3.54E-11,-1,494.889,-686.361,90,266
6.86621,0.251957,0.0152521,-4.04E-11,2.21E-11,-1,511.875,-669.375,90,267
6.81009,0.277515,0.0141227,-6.34E-12,1.71E-10,-1,551.102,-630,90,268
6.90811,0.292579,0.00861288,-8.78E-11,4.36E-11,-1,473.61,-631.11,90,269
6.86059,0.287808,0.0111308,-7.07E-11,6.47E-12,-1,511.875,-630.622,90,270
6.86029,0.288411,0.0110851,-7.07E-11,9.80E-11,-1,511.875,-630,90,271
6.90756,0.293655,0.00853207,-1.35E-10,1.71E-10,-1,473.624,-630,90,272
6.80983,0.277281,0.0141786,-1.12E-13,6.55E-14,-1,551.394,-630.144,90,273
6.80398,0.268919,0.0166044,-1.42E-13,4.97E-14,-1,558.808,-637.558,90,274
6.79459,0.273201,0.016207,-1.89E-13,1.15E-13,-1,566.028,-630,90,275
6.80974,0.277403,0.0141547,-1.92E-13,1.47E-13,-1,551.396,-630,90,276
7.75899,-0.207623,0.14602,3.87E-11,3.76E-11,-1,-630,-551.25,90,277
7.75945,-0.207445,0.145931,6.34E-14,1.10E-13,-1,-630.154,-551.404,90,278
7.75915,-0.20753,0.145971,1.38E-13,1.86E-13,-1,-630,-551.405,90,279
7.76628,-0.19884,0.141267,1.14E-13,1.89E-13,-1,-630,-566.873,90,280
7.77431,-0.198641,0.142292,4.93E-14,1.43E-13,-1,-638.114,-559.364,90,281
7.75944,-0.207527,0.145989,1.39E-13,4.66E-14,-1,-630.155,-551.25,90,282
7.79232,-0.198752,0.146747,9.58E-14,4.36E-14,-1,-644.723,-551.25,90,283
7.63909,-0.267261,0.151869,1.81E-08,1.81E-08,-1,-551.25,-551.25,90,284
7.64293,-0.265348,0.151056,1.82E-10,1.82E-10,-1,-552.562,-552.562,90,285
7.64059,-0.266333,0.151493,1.70E-10,3.53E-10,-1,-551.25,-552.577,90,286
7.66542,-0.240749,0.139499,1.06E-11,1.82E-10,-1,-551.957,-590.625,90,287
7.68288,-0.210542,0.136397,5.39E-12,5.46E-12,-1,-551.407,-629.843,90,288
7.66415,-0.241285,0.139737,9.94E-11,1.82E-10,-1,-551.25,-590.625,90,289
7.6826,-0.210662,0.13645,1.70E-10,1.07E-11,-1,-551.25,-629.842,90,290
